id,taxonomia,r_p_v_e,intensidad,alcaldia,entidad,area_m2,perime_m,intens_num,int2
1605,Temperaturas máximas,Peligro,Medio,La Magdalena Contreras,Ciudad de México,263805.1104,2582.173935,30 a 33.9,3
1606,Temperaturas máximas,Peligro,Medio,La Magdalena Contreras,Ciudad de México,284507.2987,2759.341714,30 a 33.9,3
1615,Temperaturas máximas,Peligro,Medio,Milpa Alta,Ciudad de México,650379.7223,5585.190811,30 a 33.9,3
1616,Temperaturas máximas,Peligro,Medio,Milpa Alta,Ciudad de México,531080.2947,5528.51067,30 a 33.9,3
1617,Temperaturas máximas,Peligro,Medio,Milpa Alta,Ciudad de México,483204.6405,5429.6561,30 a 33.9,3
1660,Temperaturas máximas,Peligro,Alto,Iztapalapa,Ciudad de México,179136.815,2037.282594,34 a 37.6,4
1686,Temperaturas máximas,Peligro,Medio,La Magdalena Contreras,Ciudad de México,193472.7963,2408.662447,30 a 33.9,3
1702,Temperaturas máximas,Peligro,Alto,Coyoacán,Ciudad de México,577234.1086,3468.203493,34 a 37.6,4
1718,Temperaturas máximas,Peligro,Alto,Coyoacán,Ciudad de México,106609.0708,1303.275027,34 a 37.6,4
1721,Temperaturas máximas,Peligro,Medio,Coyoacán,Ciudad de México,351149.2464,2860.791216,30 a 33.9,3
1728,Temperaturas máximas,Peligro,Alto,Iztapalapa,Ciudad de México,686986.7286,4837.772932,34 a 37.6,4
1740,Temperaturas máximas,Peligro,Medio,Gustavo A. Madero,Ciudad de México,201347.8477,2275.132845,30 a 33.9,3
1752,Temperaturas máximas,Peligro,Alto,Coyoacán,Ciudad de México,768793.8636,5509.3471,34 a 37.6,4
1754,Temperaturas máximas,Peligro,Alto,Coyoacán,Ciudad de México,143640.0432,1806.450093,34 a 37.6,4
1773,Temperaturas máximas,Peligro,Alto,Coyoacán,Ciudad de México,212511.9314,2010.508202,34 a 37.6,4
1789,Temperaturas máximas,Peligro,Alto,Venustiano Carranza,Ciudad de México,196331.6644,2637.904626,34 a 37.6,4
1790,Temperaturas máximas,Peligro,Alto,Venustiano Carranza,Ciudad de México,276416.5861,2285.551712,34 a 37.6,4
1792,Temperaturas máximas,Peligro,Alto,Venustiano Carranza,Ciudad de México,185349.0584,1810.206862,34 a 37.6,4
1795,Temperaturas máximas,Peligro,Alto,Miguel Hidalgo,Ciudad de México,288576.9384,2933.150756,34 a 37.6,4
1815,Temperaturas máximas,Peligro,Alto,Miguel Hidalgo,Ciudad de México,267266.2912,2202.337743,34 a 37.6,4
1818,Temperaturas máximas,Peligro,Alto,Miguel Hidalgo,Ciudad de México,105561.9865,1470.38757,34 a 37.6,4
1836,Temperaturas máximas,Peligro,Alto,Miguel Hidalgo,Ciudad de México,107972.5028,1398.647923,34 a 37.6,4
1841,Temperaturas máximas,Peligro,Alto,Miguel Hidalgo,Ciudad de México,466942.1081,3166.700322,34 a 37.6,4
1850,Temperaturas máximas,Peligro,Alto,Venustiano Carranza,Ciudad de México,99143.90976,1374.023399,34 a 37.6,4
1860,Temperaturas máximas,Peligro,Alto,Miguel Hidalgo,Ciudad de México,148610.6988,2031.225802,34 a 37.6,4
1874,Temperaturas máximas,Peligro,Alto,Venustiano Carranza,Ciudad de México,79065.98542,1385.503932,34 a 37.6,4
1877,Temperaturas máximas,Peligro,Alto,Miguel Hidalgo,Ciudad de México,375915.8863,2577.667489,34 a 37.6,4
1886,Temperaturas máximas,Peligro,Medio,Venustiano Carranza,Ciudad de México,164622.7039,2258.122196,30 a 33.9,3
1956,Temperaturas máximas,Peligro,Alto,Venustiano Carranza,Ciudad de México,141814.1988,1832.150993,34 a 37.6,4
1966,Temperaturas máximas,Peligro,Alto,Miguel Hidalgo,Ciudad de México,64304.41431,1514.058609,34 a 37.6,4
1992,Temperaturas máximas,Peligro,Alto,Benito Juárez,Ciudad de México,455129.5227,3232.034587,34 a 37.6,4
2057,Temperaturas máximas,Peligro,Alto,Cuauhtémoc,Ciudad de México,203788.8228,2023.62665,34 a 37.6,4
2083,Temperaturas máximas,Peligro,Alto,Benito Juárez,Ciudad de México,286241.9481,2774.56279,34 a 37.6,4
2085,Temperaturas máximas,Peligro,Alto,Iztacalco,Ciudad de México,347683.0029,2717.216979,34 a 37.6,4
2134,Temperaturas máximas,Peligro,Alto,Cuauhtémoc,Ciudad de México,190411.5077,1745.084465,34 a 37.6,4
2138,Temperaturas máximas,Peligro,Medio,Gustavo A. Madero,Ciudad de México,248465.2389,2734.218876,30 a 33.9,3
2157,Temperaturas máximas,Peligro,Medio,Gustavo A. Madero,Ciudad de México,261564.1247,2081.451513,30 a 33.9,3
2162,Temperaturas máximas,Peligro,Alto,Gustavo A. Madero,Ciudad de México,327257.1498,2335.678347,34 a 37.6,4
2166,Temperaturas máximas,Peligro,Alto,Iztacalco,Ciudad de México,222491.158,2069.307963,34 a 37.6,4
2250,Temperaturas máximas,Peligro,Alto,Cuauhtémoc,Ciudad de México,164657.5889,1768.134312,34 a 37.6,4
2287,Temperaturas máximas,Peligro,Alto,Miguel Hidalgo,Ciudad de México,148826.4846,2469.929273,34 a 37.6,4
2300,Temperaturas máximas,Peligro,Alto,Cuauhtémoc,Ciudad de México,332790.4423,2656.155856,34 a 37.6,4
2305,Temperaturas máximas,Peligro,Medio,Venustiano Carranza,Ciudad de México,223050.865,3247.717457,30 a 33.9,3
2310,Temperaturas máximas,Peligro,Alto,Venustiano Carranza,Ciudad de México,208884.977,2096.611876,34 a 37.6,4
2360,Temperaturas máximas,Peligro,Alto,Venustiano Carranza,Ciudad de México,116710.6032,1441.952766,34 a 37.6,4
2366,Temperaturas máximas,Peligro,Alto,Cuauhtémoc,Ciudad de México,185869.5154,1934.85856,34 a 37.6,4
2390,Temperaturas máximas,Peligro,Alto,Venustiano Carranza,Ciudad de México,223926.7502,1927.27636,34 a 37.6,4
2398,Temperaturas máximas,Peligro,Alto,Miguel Hidalgo,Ciudad de México,181505.8886,2537.947279,34 a 37.6,4
2406,Temperaturas máximas,Peligro,Alto,Miguel Hidalgo,Ciudad de México,236483.3678,2269.479867,34 a 37.6,4
2422,Temperaturas máximas,Peligro,Alto,Venustiano Carranza,Ciudad de México,165599.7366,1887.922831,34 a 37.6,4
2423,Temperaturas máximas,Peligro,Medio,Venustiano Carranza,Ciudad de México,78932.46266,1837.861605,30 a 33.9,3
1013,Temperaturas máximas,Peligro,Medio,Xochimilco,Ciudad de México,562014.6801,4994.456704,30 a 33.9,3
1032,Temperaturas máximas,Peligro,Medio,Tlalpan,Ciudad de México,827981.9612,4949.296928,30 a 33.9,3
1039,Temperaturas máximas,Peligro,Alto,Iztapalapa,Ciudad de México,129680.887,1662.811753,34 a 37.6,4
1053,Temperaturas máximas,Peligro,Medio,Tlalpan,Ciudad de México,886963.6554,3861.576852,30 a 33.9,3
1072,Temperaturas máximas,Peligro,Medio,Tlalpan,Ciudad de México,207599.1403,1852.804559,30 a 33.9,3
1082,Temperaturas máximas,Peligro,Medio,Tláhuac,Ciudad de México,529272.7526,4482.863035,30 a 33.9,3
1083,Temperaturas máximas,Peligro,Alto,Tláhuac,Ciudad de México,368565.47,2448.787064,34 a 37.6,4
1099,Temperaturas máximas,Peligro,Medio,Tlalpan,Ciudad de México,438616.8056,3910.407554,30 a 33.9,3
1122,Temperaturas máximas,Peligro,Medio,Tlalpan,Ciudad de México,273182.5121,2343.614059,30 a 33.9,3
1150,Temperaturas máximas,Peligro,Alto,Iztapalapa,Ciudad de México,182703.3783,2305.988052,34 a 37.6,4
1154,Temperaturas máximas,Peligro,Medio,Álvaro Obregón,Ciudad de México,23581.81887,706.7423643,30 a 33.9,3
1160,Temperaturas máximas,Peligro,Medio,Xochimilco,Ciudad de México,782139.2006,4270.338407,30 a 33.9,3
1161,Temperaturas máximas,Peligro,Alto,Iztapalapa,Ciudad de México,148133.7263,1798.591495,34 a 37.6,4
1175,Temperaturas máximas,Peligro,Medio,Gustavo A. Madero,Ciudad de México,259821.3359,2957.95653,30 a 33.9,3
1178,Temperaturas máximas,Peligro,Medio,Coyoacán,Ciudad de México,124228.2326,2015.951394,30 a 33.9,3
1182,Temperaturas máximas,Peligro,Medio,Azcapotzalco,Ciudad de México,392212.151,2725.105604,30 a 33.9,3
1196,Temperaturas máximas,Peligro,Alto,Gustavo A. Madero,Ciudad de México,166619.197,1735.079753,34 a 37.6,4
1216,Temperaturas máximas,Peligro,Medio,Gustavo A. Madero,Ciudad de México,51325.89042,1261.695185,30 a 33.9,3
1229,Temperaturas máximas,Peligro,Medio,Gustavo A. Madero,Ciudad de México,34821.35063,924.9518507,30 a 33.9,3
1237,Temperaturas máximas,Peligro,Medio,Gustavo A. Madero,Ciudad de México,60153.18558,1054.25907,30 a 33.9,3
1261,Temperaturas máximas,Peligro,Medio,Gustavo A. Madero,Ciudad de México,262380.4121,2636.211013,30 a 33.9,3
1269,Temperaturas máximas,Peligro,Alto,Gustavo A. Madero,Ciudad de México,305570.3288,2363.627282,34 a 37.6,4
1275,Temperaturas máximas,Peligro,Alto,Iztacalco,Ciudad de México,144408.2394,1901.92133,34 a 37.6,4
1296,Temperaturas máximas,Peligro,Medio,Coyoacán,Ciudad de México,429282.0564,3604.442067,30 a 33.9,3
1322,Temperaturas máximas,Peligro,Medio,Gustavo A. Madero,Ciudad de México,2273692.682,8212.112935,30 a 33.9,3
1008,Temperaturas máximas,Peligro,Alto,Iztapalapa,Ciudad de México,191314.3818,1873.768689,34 a 37.6,4
